No.168 รายงานผล,Lab Code,รายงานผล,RBC,WBC,PLT,Hb,Hct,MCV,MCH,MCHC,Unnamed: 11,RBC.1,WBC.1,PLT.1,Hb.1,Hct.1,MCV.1,MCH.1,MCHC.1,Unnamed: 20,Brand_N,Brand_N.1,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
109,00109,R,2.15,1.47,60,5.4,16.5,76.8,25.1,32.7,,5.21,18.63,575,15.5,45.9,88.2,29.7,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 859,NGPH
116,00116,R,2.29,1.48,58,5.5,17.6,76.8,24.2,31.5,,5.39,19.39,590,15.5,47.3,87.8,28.8,32.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1201,NGPH
120,00120,R,2.19,1.61,49,5.3,16.9,77.2,24.2,31.4,,4.35,18.13,,15.4,48.1,,35.4,32,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 424,PHCH
131,00131,R,2.16,1.53,59,5.4,16.4,75.9,24.8,32.7,,5.24,19.18,560,15.3,45.6,87.1,29.2,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 845,NGPH
132,00132,R,,,80,5.3,18.5,,,28.6,,5.27,,579,15.4,45.8,86.9,29.2,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 935,PHCH
141,00141,R,2.19,1.56,52,5.4,16.2,74,24.7,33.3,,5.31,19.34,574,15.4,45,84.7,29,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,รบกวนตรวจสอบ Specimen ก่อนการจัดส่งด้วยค่ะ,,,HM 1238,NGPH
148,00148,R,2.19,1.33,62,5.3,16.3,74.4,24.2,32.5,,4.35,,582,15,46.6,,34.5,32.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1711,GNPH
165,00165,R,2.1,1.29,79,5.3,22,,25.2,24.1,,4.51,,577,15.1,46,102,33.5,32.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 441,PHCH
166,00166,R,2.18,1.2,62,5.4,16.1,73.9,24.8,33.5,,5.28,,602,15.5,45.7,86.6,29.4,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 710,GNPH
186,00186,R,2.21,1.36,64,5.4,16.6,75.1,24.4,32.5,,5.34,,570,15.6,46.1,86.3,29.2,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",503,,XN1000,21 พฤษภาคม 2568,,,,HM 1327,NGPH
